year,month,dow,flights,delayed15,arr_delay_sum,arr_delay_n
2015,7,5,57316,10142,216228.0,56683
2015,7,6,66985,11289,183075.0,66469
2015,8,0,85615,16230,465958.0,84253
2015,8,1,67266,14602,482903.0,66250
2015,8,2,67675,11361,180876.0,66977
2015,8,3,68587,14658,545196.0,67476
2015,8,4,68725,11836,212296.0,68176
2015,8,5,70989,11351,201404.0,70024
2015,8,6,81679,14075,233280.0,80800
2015,9,0,64972,6649,-194708.0,64715
2015,9,1,79315,8895,-148968.0,78687
2015,9,2,80151,9695,-149906.0,79792
2015,9,3,65617,12193,317858.0,64864
2015,9,4,65658,10909,204881.0,65213
2015,9,5,49508,5237,-184880.0,49322
2015,9,6,59725,6483,-201323.0,59560
2015,10,0,66295,6808,-176331.0,66080
2015,10,1,63742,5027,-332746.0,63586
2015,10,2,64906,6762,-160287.0,64584
2015,10,3,82927,11075,10751.0,82453
2015,10,4,82501,14630,430586.0,81063
2015,10,5,62731,7552,-92721.0,62243
2015,10,6,63063,8225,-56085.0,62869
2015,11,0,81315,12472,56403.0,80542
2015,11,1,64102,9041,15233.0,63369
2015,11,2,65775,10152,129398.0,64632
2015,11,3,59947,10194,172225.0,59221
2015,11,4,62624,9382,42956.0,62190
2015,11,5,54622,7384,34448.0,53442
2015,11,6,79587,11946,58303.0,78971
2015,12,0,64717,13963,586106.0,61731
2015,12,1,79528,17029,574893.0,77886
2015,12,2,80550,20193,745294.0,79567
2015,12,3,75587,13832,324023.0,74771
2015,12,4,61821,9485,52267.0,61337
2015,12,5,54436,9346,122092.0,53535
2015,12,6,62591,12924,457265.0,60890
2016,1,0,61028,10912,184258.0,59722
2016,1,1,58273,8570,28654.0,57383
2016,1,2,59036,8323,-37642.0,58475
2016,1,3,61044,8926,-36937.0,60502
2016,1,4,74138,13003,240846.0,71303
2016,1,5,61654,8409,2976.0,58357
2016,1,6,70654,12739,282374.0,67556
2016,2,0,76987,11895,97569.0,74798
2016,2,1,59617,10982,296421.0,58165
2016,2,2,60326,9726,174927.0,58257
2016,2,3,61945,8710,-24941.0,61349
2016,2,4,62097,9752,152014.0,61264
2016,2,5,48169,4414,-287410.0,47933
2016,2,6,54748,6201,-131751.0,54331
2016,3,0,64094,11129,175437.0,63505
2016,3,1,77364,10868,32697.0,76374
2016,3,2,78285,11824,135300.0,76249
2016,3,3,80333,17416,586632.0,79330
2016,3,4,64145,13137,348738.0,63695
2016,3,5,53786,9039,153416.0,53493
2016,3,6,61115,9156,56697.0,60640
2016,4,0,64426,8581,-14076.0,63236
2016,4,1,62860,7298,-127040.0,62415
2016,4,2,63275,6564,-195020.0,63033
2016,4,3,64454,9537,62252.0,64147
2016,4,4,80605,15072,360971.0,79836
2016,4,5,64990,9982,119043.0,63730
2016,4,6,61020,9573,112109.0,60305
2016,5,0,80141,11991,94456.0,79668
2016,5,1,79913,11950,128714.0,79082
2016,5,2,64065,9921,186312.0,63400
2016,5,3,65144,13177,416082.0,64550
2016,5,4,65187,12158,343487.0,64496
2016,5,5,50990,5913,-107171.0,50735
2016,5,6,73918,10388,7520.0,73568
