year,month,OP_CARRIER,flights,cancelled,diverted,delayed15,dep_delay_sum,dep_delay_n,arr_delay_sum,arr_delay_n,taxi_out_sum,taxi_in_sum,carrier_min,weather_min,nas_min,security_min,late_aircraft_min
2014,3,US,36447,687,40,6044,177024.0,35778,81435.0,35720,653001.0,252711.0,111826.0,7324.0,90542.0,911.0,78352.0
2014,3,VX,4712,40,11,591,26887.0,4672,1261.0,4661,63896.0,36643.0,5833.0,1949.0,15318.0,40.0,12228.0
2014,3,WN,101382,1138,128,26900,1416292.0,100256,971942.0,100116,1121945.0,552004.0,360985.0,24509.0,149984.0,842.0,691423.0
2014,4,AA,43570,138,176,7411,294466.0,43439,140511.0,43256,687752.0,355719.0,141485.0,16633.0,106658.0,152.0,162840.0
2014,4,AS,12672,31,30,1173,-8346.0,12641,-36625.0,12611,173579.0,71354.0,17105.0,744.0,19551.0,179.0,20333.0
2014,4,B6,20974,303,38,4407,173256.0,20684,108498.0,20633,377122.0,121462.0,66412.0,4217.0,87667.0,492.0,88437.0
2014,4,DL,65645,40,103,9585,370648.0,65615,95095.0,65502,1148178.0,470435.0,200598.0,23993.0,125857.0,71.0,141585.0
2014,4,EV,57584,1973,174,12715,689983.0,55679,478393.0,55437,870963.0,378773.0,248873.0,13103.0,226185.0,504.0,345731.0
2014,4,F9,5972,6,6,1201,52296.0,5967,56531.0,5960,81081.0,42526.0,14688.0,1051.0,26478.0,0.0,30076.0
2014,4,FL,8209,36,10,1215,41937.0,8175,-2471.0,8163,105431.0,64856.0,12385.0,750.0,14228.0,0.0,25348.0
2014,4,HA,5910,19,6,327,-12958.0,5893,-7718.0,5885,59398.0,37421.0,10690.0,18.0,115.0,140.0,4781.0
2014,4,MQ,34044,1087,98,7257,245717.0,33000,251286.0,32859,511244.0,256545.0,101166.0,35247.0,113511.0,249.0,150638.0
2014,4,OO,50853,905,100,8689,305100.0,50007,218173.0,49848,793114.0,336587.0,137756.0,9432.0,98562.0,260.0,239216.0
2014,4,UA,39498,174,80,6934,347959.0,39335,44545.0,39244,680031.0,287104.0,106393.0,7810.0,122165.0,0.0,124231.0
2014,4,US,34602,294,42,5457,137502.0,34337,40907.0,34266,616854.0,242549.0,92663.0,3084.0,83350.0,1129.0,75699.0
2014,4,VX,4857,5,6,644,34206.0,4853,6969.0,4846,68585.0,37971.0,6669.0,2526.0,21595.0,53.0,12843.0
2014,4,WN,99109,551,187,24791,1326750.0,98567,860875.0,98371,1062905.0,533101.0,332138.0,23443.0,139174.0,826.0,637182.0
2014,5,AA,45664,1066,275,9264,485090.0,44637,319220.0,44323,715293.0,384133.0,167857.0,57149.0,142729.0,210.0,217998.0
2014,5,AS,13224,17,24,1325,-4451.0,13211,-22559.0,13183,183839.0,76415.0,17088.0,1461.0,20140.0,139.0,21126.0
2014,5,B6,21186,512,97,4196,199357.0,20687,95449.0,20577,361386.0,122522.0,73409.0,6651.0,76858.0,703.0,92806.0
2014,5,DL,68036,72,141,10395,466053.0,67971,188333.0,67823,1203611.0,481898.0,230931.0,23190.0,170040.0,1479.0,156302.0
2014,5,EV,59521,3436,243,13979,880413.0,56209,648716.0,55842,885517.0,386189.0,289175.0,24348.0,269858.0,947.0,414449.0
2014,5,F9,7290,46,25,1867,88137.0,7248,95699.0,7219,99345.0,52567.0,20813.0,2503.0,51299.0,0.0,42869.0
2014,5,FL,7709,17,15,1212,56504.0,7694,7622.0,7677,102050.0,62762.0,15093.0,2146.0,15870.0,0.0,27173.0
2014,5,HA,6223,28,4,394,-10949.0,6196,-4474.0,6191,63529.0,40098.0,10309.0,192.0,138.0,18.0,5215.0
2014,5,MQ,34962,1518,124,8345,339858.0,33539,353697.0,33320,522951.0,263277.0,125180.0,41807.0,139423.0,741.0,171923.0
2014,5,OO,52077,1122,104,9883,377133.0,51037,298559.0,50851,814943.0,339892.0,156510.0,14055.0,121179.0,585.0,260676.0
2014,5,UA,42428,557,215,9244,596943.0,41923,288218.0,41656,753839.0,325160.0,156419.0,22481.0,192031.0,14.0,223474.0
2014,5,US,35325,356,86,5876,205562.0,35008,96957.0,34883,628154.0,258945.0,108741.0,12837.0,97506.0,621.0,89470.0
2014,5,VX,4974,9,9,889,45133.0,4966,19573.0,4956,75373.0,40794.0,7128.0,6195.0,23971.0,250.0,16098.0
2014,5,WN,100659,757,330,27276,1660284.0,99914,1155318.0,99572,1094163.0,559446.0,394013.0,55675.0,172896.0,1024.0,810220.0
2014,6,AA,45825,504,275,14082,799400.0,45358,756490.0,45046,758442.0,426485.0,235402.0,68365.0,206136.0,260.0,416463.0
2014,6,AS,14171,30,16,1943,25817.0,14145,23950.0,14125,203738.0,83568.0,27387.0,1577.0,26505.0,359.0,29971.0
2014,6,B6,21224,426,62,4361,191146.0,20813,109657.0,20736,383386.0,126636.0,71533.0,10669.0,78114.0,451.0,86984.0
2014,6,DL,69621,19,200,13186,671411.0,69608,368325.0,69402,1250843.0,501265.0,268005.0,42738.0,217573.0,134.0,228450.0
2014,6,EV,59381,2937,272,17525,1090878.0,56528,952803.0,56172,923771.0,401045.0,326960.0,42233.0,315647.0,447.0,532821.0
2014,6,F9,7561,7,28,2164,95939.0,7554,113763.0,7526,103856.0,56304.0,25747.0,3165.0,54622.0,0.0,43801.0
2014,6,FL,6916,29,21,1292,65865.0,6890,21879.0,6866,93866.0,58541.0,14753.0,3559.0,18664.0,0.0,30132.0
2014,6,HA,6399,5,6,289,-16894.0,6394,-14591.0,6388,66423.0,41835.0,8406.0,61.0,87.0,7.0,2635.0
2014,6,MQ,33509,2166,113,10378,456940.0,31466,520450.0,31230,509663.0,269957.0,143636.0,53183.0,176102.0,737.0,224918.0
2014,6,OO,53173,2016,142,11746,550465.0,51235,506204.0,51015,844331.0,345540.0,201423.0,19378.0,144030.0,721.0,351672.0
2014,6,UA,42886,607,179,12055,765610.0,42330,541326.0,42100,783051.0,343962.0,214072.0,40087.0,200830.0,7.0,297482.0
2014,6,US,34954,529,67,7101,255315.0,34489,193055.0,34358,636054.0,263069.0,126745.0,19361.0,115490.0,2060.0,100586.0
2014,6,VX,4954,7,4,901,37313.0,4950,21871.0,4943,78540.0,42288.0,9726.0,3226.0,22846.0,77.0,13191.0
2014,6,WN,102043,851,383,32683,2022418.0,101214,1604255.0,100809,1150346.0,591469.0,500974.0,72278.0,212180.0,1168.0,1046276.0
2014,7,AA,47450,596,234,12306,620879.0,46891,556878.0,46620,779841.0,425750.0,214327.0,45510.0,165517.0,329.0,311174.0
2014,7,AS,15009,55,35,2290,45508.0,14962,38816.0,14919,219887.0,87939.0,29495.0,4144.0,29212.0,527.0,40889.0
2014,7,B6,22575,672,63,6975,419223.0,21922,389960.0,21840,422895.0,135257.0,117675.0,27800.0,143806.0,951.0,191267.0
2014,7,DL,72714,139,195,9635,518345.0,72601,52235.0,72380,1272773.0,525290.0,233263.0,39316.0,160835.0,71.0,159699.0
2014,7,EV,61210,2016,201,14043,763485.0,59287,571024.0,58993,939569.0,413100.0,282036.0,25147.0,218010.0,0.0,372504.0
2014,7,F9,8037,13,15,1891,83578.0,8026,98172.0,8009,111985.0,59712.0,23304.0,2506.0,49740.0,0.0,38871.0
2014,7,FL,6980,20,13,1144,63663.0,6964,12298.0,6947,91416.0,60191.0,15037.0,2647.0,15223.0,0.0,30252.0
